[09:30｜我有上将潘凤｜消息1904] 瑞芯微我开盘就卖了
[10:36｜我有上将潘凤｜消息1947] 现在继续灌泻药
[10:48｜我有上将潘凤｜消息1948] dml这样的话
[10:48｜我有上将潘凤｜消息1949] 要多两个半了
[10:49｜我有上将潘凤｜消息1950] 板了
[10:49｜我有上将潘凤｜消息1951] dml一字龙了
[10:50｜我有上将潘凤｜消息1952] @所有人?你们还记得21年吗
[10:50｜我有上将潘凤｜消息1953] 很多人是早爆晚爆的事情了
[10:51｜我有上将潘凤｜消息1954] 有些人是这一波下跌
[10:51｜我有上将潘凤｜消息1955] 有些人是一年之后爆
[10:52｜我有上将潘凤｜消息1956] @所有人?你们还间谍
[10:52｜我有上将潘凤｜消息1957] 21年
[10:52｜我有上将潘凤｜消息1958] 还记得
[10:52｜我有上将潘凤｜消息1959] 是谁上市嘛
[10:52｜我有上将潘凤｜消息1960] 我们最风格的那一把
[10:52｜我有上将潘凤｜消息1961] 盐湖股份
[10:52｜我有上将潘凤｜消息1962] @所有人
[10:52｜我有上将潘凤｜消息1963] 还记得吗
[10:52｜我有上将潘凤｜消息1964] 盐湖上市
[10:52｜我有上将潘凤｜消息1965] 锂矿见顶
[10:58｜我有上将潘凤｜消息1966] 带新同学回顾一下
[10:59｜我有上将潘凤｜消息1967] 当天涨停的
[10:59｜我有上将潘凤｜消息1968] eyJwaGFzaCI6IjEwMTAxMDAwMTAxMDEwMDAiLCJwZHFoYXNoIjoiYjZhNTRiNTJkYjY5YTQ5NjViNGJiNGE1NzQ5NjViNmI1NDE2NTk0YjUxNGU1YjY5MjQ5NjViNDk4OWNkYjQ5NiJ9
这天最后一个绿盘b之后
[11:24｜我有上将潘凤｜消息1969] 峰哥那种
[11:24｜我有上将潘凤｜消息1970] 迟早有事
[11:24｜我有上将潘凤｜消息1971] 天天在这边
[11:24｜我有上将潘凤｜消息1972] 我记得他之前很多发言
[11:24｜我有上将潘凤｜消息1973] 本身就不合规
[11:26｜我有上将潘凤｜消息1974] 我是说他的发言很危险
[11:26｜我有上将潘凤｜消息1975] 之前说什么中国男性性压抑 这种男女对立的话题
[11:26｜我有上将潘凤｜消息1976] 即没有深度还在煽动对立
[13:08｜我有上将潘凤｜消息1977] 和我说
[13:08｜我有上将潘凤｜消息1978] 我中午那个拿住中际旭创的同学
[13:08｜我有上将潘凤｜消息1979] 他已经补保证金了
[13:08｜我有上将潘凤｜消息1980] 早上券商给他电话了
[13:08｜我有上将潘凤｜消息1981] 开始补保证金了
[13:08｜我有上将潘凤｜消息1982] 但是
[13:08｜我有上将潘凤｜消息1983] 他誓死不放手
[13:08｜我有上将潘凤｜消息1984] [破涕为笑]
[13:09｜我有上将潘凤｜消息1985] 他们是涨上去了
[13:09｜我有上将潘凤｜消息1986] 然后融资继续加啊
[13:09｜我有上将潘凤｜消息1987] 没钱补的
[13:09｜我有上将潘凤｜消息1988] 慢慢卖掉你持仓
[13:09｜我有上将潘凤｜消息1989] 不会一下子爆掉的
[13:09｜我有上将潘凤｜消息1990] 现在已经吸取15年教训了
[13:10｜我有上将潘凤｜消息1991] 那他有比较的啊
[13:10｜我有上将潘凤｜消息1992] 都是一个学校的毕业的
[13:10｜我有上将潘凤｜消息1993] 凭啥你赚的比我多
[13:10｜我有上将潘凤｜消息1994] 他也可以
[13:11｜我有上将潘凤｜消息1995] 人性不就这样嘛
[13:11｜我有上将潘凤｜消息1996] 你不会的 你会觉得
[13:11｜我有上将潘凤｜消息1997] 这叼毛
[13:11｜我有上将潘凤｜消息1998] 当初考试考不过我
[13:11｜我有上将潘凤｜消息1999] 凭啥现在那么牛
[13:12｜我有上将潘凤｜消息2000] 不知道
[13:12｜我有上将潘凤｜消息2001] 不过我真的提醒过他了
[13:12｜我有上将潘凤｜消息2002] 但是你知道人在顶点的时候
[13:12｜我有上将潘凤｜消息2003] 是听不进去的
[13:12｜我有上将潘凤｜消息2004] 毕竟去年四月份的时候
[13:13｜我有上将潘凤｜消息2005] 他也补保证金了
[13:13｜我有上将潘凤｜消息2006] 人家一波上到十倍
[13:13｜我有上将潘凤｜消息2007] 确实没必要听我这种
[13:13｜我有上将潘凤｜消息2008] 亏了67的人
[13:13｜我有上将潘凤｜消息2009] [旺柴]
[13:13｜我有上将潘凤｜消息2010] 人家也会做T 还会浮盈加仓
[13:14｜我有上将潘凤｜消息2011] 哦 后来钱多了
[13:14｜我有上将潘凤｜消息2012] 还买了胜宏科技 天孚通信
[13:14｜我有上将潘凤｜消息2013] [旺柴]
[13:14｜我有上将潘凤｜消息2014] 分散风险了
[13:15｜我有上将潘凤｜消息2015] 风险看起来是真分散了
[13:15｜我有上将潘凤｜消息2016] 从一个风险分散到三个风险
[13:15｜我有上将潘凤｜消息2017] 这是我身边的真人真事
[13:15｜我有上将潘凤｜消息2018] 真是开眼了
[13:17｜我有上将潘凤｜消息2019] 好言难劝该死的X
[13:17｜我有上将潘凤｜消息2020] 我又不是没说过
[13:18｜我有上将潘凤｜消息2021] 群里老师应该见证无数次
[13:18｜我有上将潘凤｜消息2022] @所有人
[13:18｜我有上将潘凤｜消息2023] 我提示风险了
[13:18｜我有上将潘凤｜消息2024] 只不过这次是级别很大的而已
[13:31｜我有上将潘凤｜消息2025] 卧槽
[13:32｜我有上将潘凤｜消息2026] @所有人
[13:32｜我有上将潘凤｜消息2027] 前女友700亿以下了
[13:32｜我有上将潘凤｜消息2028] 人老珠黄了
[13:32｜我有上将潘凤｜消息2029] 老师们
[13:32｜我有上将潘凤｜消息2030] 被你们玩坏了
[13:32｜我有上将潘凤｜消息2031] 渣男
[13:32｜我有上将潘凤｜消息2032] [旺柴]
[13:36｜我有上将潘凤｜消息2033] @所有人?问下老师们
[13:36｜我有上将潘凤｜消息2034] 空仓是不是也是一种很爽的操作
[13:42｜我有上将潘凤｜消息2035] 如果我们看空那个位置
[13:42｜我有上将潘凤｜消息2036] 买一百万空创业板
[13:42｜我有上将潘凤｜消息2037] 能赚多少钱
[13:42｜我有上将潘凤｜消息2038] 到现在
[13:43｜我有上将潘凤｜消息2039] 还有五天到期啊
[13:44｜我有上将潘凤｜消息2040] 这个
[14:02｜我有上将潘凤｜消息2041] 妈的
[14:02｜我有上将潘凤｜消息2042] 反弹也是反弹我们的票
[14:06｜我有上将潘凤｜消息2043] 这边
[14:06｜我有上将潘凤｜消息2044] 我觉得吧
[14:06｜我有上将潘凤｜消息2045] 只是减缓下跌的速度
[14:06｜我有上将潘凤｜消息2046] 做过熊市的老师都知道
[14:06｜我有上将潘凤｜消息2047] 可以叠
[14:06｜我有上将潘凤｜消息2048] 跌
[14:06｜我有上将潘凤｜消息2049] 但是不能跌太快
[14:06｜我有上将潘凤｜消息2050] 而且LD喜欢跌
[14:07｜我有上将潘凤｜消息2051] 因为跌了就没风险了
[14:15｜我有上将潘凤｜消息2052] 人家抄底前
[14:15｜我有上将潘凤｜消息2053] 不给卖
[14:15｜我有上将潘凤｜消息2054] 全部通知一遍
[14:15｜我有上将潘凤｜消息2055] 然后抄底
[14:15｜我有上将潘凤｜消息2056] [破涕为笑]
[14:15｜我有上将潘凤｜消息2057] 但我觉得
[14:16｜我有上将潘凤｜消息2058] 后面抛压会更重
[14:18｜我有上将潘凤｜消息2059] 你不给卖
[14:18｜我有上将潘凤｜消息2060] 那不得赶紧卖
[14:18｜我有上将潘凤｜消息2061] 万一继续下跌怎么办
[14:18｜我有上将潘凤｜消息2062] 不然以后卖不了怎么办
[14:18｜我有上将潘凤｜消息2063] 不是亏更多
[14:20｜我有上将潘凤｜消息2064] 对对
[14:20｜我有上将潘凤｜消息2065] 这同学说道本质问题了
[14:51｜我有上将潘凤｜消息2066] 好了
[14:51｜我有上将潘凤｜消息2067] 今天抄底的
[14:51｜我有上将潘凤｜消息2068] 一天亏两次
[14:51｜我有上将潘凤｜消息2069] 周末开心了
[14:57｜我有上将潘凤｜消息2070] @所有人?周末愉快
[14:58｜我有上将潘凤｜消息2071] 老师们周末可以收留 A股韩国心碎小妹了
[14:58｜我有上将潘凤｜消息2072] @所有人?
[15:16｜我有上将潘凤｜消息2073] 机器人
[15:16｜我有上将潘凤｜消息2074] 再看看半个月前说的话
[15:18｜我有上将潘凤｜消息2075] 熊市是真练技术
[15:20｜我有上将潘凤｜消息2076] 群里老师不少最近还在私信我
[15:20｜我有上将潘凤｜消息2077] 那个行不行
[15:20｜我有上将潘凤｜消息2078] 我都按住了
[15:20｜我有上将潘凤｜消息2079] 太痒了
[15:34｜我有上将潘凤｜消息2080] @所有人?老师们好好享受周末
[15:34｜我有上将潘凤｜消息2081] 群发言要开始小心
[15:34｜我有上将潘凤｜消息2082] 不要乱发
[15:35｜我有上将潘凤｜消息2083] 特别牵扯到敏感信息的
[16:59｜我有上将潘凤｜消息2084] 和锂矿那时候一模一样
[17:08｜我有上将潘凤｜消息2085] 为什么我之前被告知是55亿
[17:09｜我有上将潘凤｜消息2086] 为什么之前有人和我吹的是55亿
[17:09｜我有上将潘凤｜消息2087] 怎么大家跌了都自动下调预期了
[17:09｜我有上将潘凤｜消息2088] [旺柴]
[17:10｜我有上将潘凤｜消息2089] 很多人
[17:10｜我有上将潘凤｜消息2090] 每天都在抄底
[17:10｜我有上将潘凤｜消息2091] 套的越来越多
[17:10｜我有上将潘凤｜消息2092] 只能超预期了
[17:10｜我有上将潘凤｜消息2093] 天孚没人讨论业绩的
[17:11｜我有上将潘凤｜消息2094] xys之前有人和我说能排到55亿
[17:11｜我有上将潘凤｜消息2095] 现在又说之前预期35亿
[17:11｜我有上将潘凤｜消息2096] [旺柴][旺柴]
[17:11｜我有上将潘凤｜消息2097] 我估计这人都忘了自己之前说过55亿的话了
[23:14｜我有上将潘凤｜消息2098] 为了发长鑫科技啊
[23:14｜我有上将潘凤｜消息2099] 不然发不出来了
[23:14｜我有上将潘凤｜消息2100] 其实本身不喊话 周一买点更好
[23:14｜我有上将潘凤｜消息2101] 这么一喊反而...
