[09:32｜我有上将潘凤｜消息2397] 华虹公司一会儿开盘冲高我准备先卖一半
[12:18｜我有上将潘凤｜消息2485] 今天紫金矿业也都是
[12:18｜我有上将潘凤｜消息2486] 其实现在盘面比较又持续性的
[12:18｜我有上将潘凤｜消息2487] 有点转变为之前熊市的
[12:19｜我有上将潘凤｜消息2488] 吹票和投机模式了
[12:19｜我有上将潘凤｜消息2489] 比如立新能源 哈药股份
[12:19｜我有上将潘凤｜消息2490] 是不是后面风格要转变了
[12:19｜我有上将潘凤｜消息2491] 我还在观察
[12:20｜我有上将潘凤｜消息2492] @所有人
[12:20｜我有上将潘凤｜消息2493] 这个也要关注
[12:20｜我有上将潘凤｜消息2494] 记得21年之后我们做的第一个投机票 大龙地产
[12:21｜我有上将潘凤｜消息2495] 有概率 现在还在观察
[12:58｜我有上将潘凤｜消息2496] @所有人?群里有特别关注 老师们可以加一下
[12:58｜我有上将潘凤｜消息2497] 最近行情不好 群里聊天比较多
[13:25｜我有上将潘凤｜消息2498] 海外的波动其实更夸张
[13:41｜我有上将潘凤｜消息2499] 其实那些大佬
[13:41｜我有上将潘凤｜消息2500] 爆仓了也是好事
[13:41｜我有上将潘凤｜消息2501] 不然自有资金
[13:41｜我有上将潘凤｜消息2502] 后面不知道还要亏多少
[13:55｜我有上将潘凤｜消息2503] 韩国波动比我们大多了
[14:04｜我有上将潘凤｜消息2504] 接下来
[14:04｜我有上将潘凤｜消息2505] 美国六七个大厂
[14:04｜我有上将潘凤｜消息2506] 只要一个大厂不及预期
[14:04｜我有上将潘凤｜消息2507] 开支或者财报
[14:04｜我有上将潘凤｜消息2508] 那么都是潜在风险
[14:05｜我有上将潘凤｜消息2509] 要不然你借钱扩大资本开支
[14:05｜我有上将潘凤｜消息2510] 现在美国大厂就是这个问题
[14:05｜我有上将潘凤｜消息2511] 那么你的财报不及预期
[14:05｜我有上将潘凤｜消息2512] 或者现金流有问题
[14:05｜我有上将潘凤｜消息2513] 那么你的开支扩展的也是不可持续的
[14:05｜我有上将潘凤｜消息2514] 那就更糟糕
[14:05｜我有上将潘凤｜消息2515] 如果你资本开支直接缩减了
[14:06｜我有上将潘凤｜消息2516] 这也是
[14:06｜我有上将潘凤｜消息2517] 老师们可以仔细思考一下
[14:06｜我有上将潘凤｜消息2518] 我最近为什么一直出手很少的原因
[14:06｜我有上将潘凤｜消息2519] 我思考的有没有问题
[14:06｜我有上将潘凤｜消息2520] @所有人
[14:06｜我有上将潘凤｜消息2521] 我是从高位的时候就思考这个问题了
[14:07｜我有上将潘凤｜消息2522] 所以帮助逃过一劫
[14:10｜我有上将潘凤｜消息2523] 然后再看一下这个表格
[14:10｜我有上将潘凤｜消息2524] 如果你是某队的
[14:10｜我有上将潘凤｜消息2525] 就是不要出现快速爆仓
[14:10｜我有上将潘凤｜消息2526] 所以现在最好的方式
[14:10｜我有上将潘凤｜消息2527] 平衡一下
[14:10｜我有上将潘凤｜消息2528] 然后让里面的人
[14:10｜我有上将潘凤｜消息2529] 慢慢的自己减仓
[14:12｜我有上将潘凤｜消息2530] 现在的行情有多极端
[14:13｜我有上将潘凤｜消息2531] 其他行业已经消失了
[14:19｜我有上将潘凤｜消息2532] 其实我觉得
[14:19｜我有上将潘凤｜消息2533] 如果科技可以再调整一波
[14:20｜我有上将潘凤｜消息2534] 但是这边属于尿不尽
[14:20｜我有上将潘凤｜消息2535] 这其实是最大问题
[14:20｜我有上将潘凤｜消息2536] 很多老师老问我接下来干啥
[14:21｜我有上将潘凤｜消息2537] 其实我觉得完全没必要焦虑
[14:21｜我有上将潘凤｜消息2538] 我们错过了?
[14:21｜我有上将潘凤｜消息2539] 有机会自然会干
[14:21｜我有上将潘凤｜消息2540] 之前哪一波有机会
[14:41｜我有上将潘凤｜消息2541] 他们也是贱
[14:41｜我有上将潘凤｜消息2542] 早上直接高举高打
[14:41｜我有上将潘凤｜消息2543] 不就行了
[14:42｜我有上将潘凤｜消息2544] 自己都没你信心
