[10:06｜5280｜消息1699] 有事嘛?
[18:27｜我有上将潘凤｜消息1786] 我感觉大哥二哥也是这样
[18:29｜我有上将潘凤｜消息1787] 今天我评论区
[18:29｜我有上将潘凤｜消息1788] 有不少说
[18:29｜我有上将潘凤｜消息1789] 你昨天跌了就说空仓了
[18:29｜我有上将潘凤｜消息1790] 今天涨了就买股票了
[18:29｜我有上将潘凤｜消息1791] [旺柴][旺柴]
[18:29｜我有上将潘凤｜消息1792] “p图”
[18:29｜我有上将潘凤｜消息1793] 说的确实没问题
[18:30｜我有上将潘凤｜消息1794] 从这点看来
[18:30｜我有上将潘凤｜消息1795] 这次牛市
[18:30｜我有上将潘凤｜消息1796] 饿了
