[09:32｜我有上将潘凤｜消息0647] 心猿意马 七个点我减了一点点
[09:33｜我有上将潘凤｜消息0648] 你看看
[10:16｜我有上将潘凤｜消息0683] 边打边撤了
[10:17｜我有上将潘凤｜消息0684] 对 波动大
[10:17｜我有上将潘凤｜消息0685] 就行情不稳
[10:17｜我有上将潘凤｜消息0686] 不稳
[10:17｜我有上将潘凤｜消息0687] 就不能玩多了
[10:27｜我有上将潘凤｜消息0688] 老登这边不会起来的 今天冲一天
[10:27｜我有上将潘凤｜消息0689] 明天又没人了
[10:28｜我有上将潘凤｜消息0690] 不过
[10:28｜我有上将潘凤｜消息0691] 这边给大家提个醒了
[10:28｜我有上将潘凤｜消息0692] pαn面
[10:28｜我有上将潘凤｜消息0693] 就是这边科技加大波动
[10:28｜我有上将潘凤｜消息0694] 毕竟长鑫存储也快了
[10:28｜我有上将潘凤｜消息0695] 长鑫存储的流动性肯是从科技里面抽为主
[10:39｜我有上将潘凤｜消息0696] 所以
[10:40｜我有上将潘凤｜消息0697] 很多老师再吹
[10:40｜我有上将潘凤｜消息0698] 中际旭创很多拿住的人
[10:40｜我有上将潘凤｜消息0699] 这几天一定不会卖
[10:46｜我有上将潘凤｜消息0700] @所有人?明天再来和老师们解释一下 为什么波动一大
[10:46｜我有上将潘凤｜消息0701] 这边科技后面就不能参与了
[10:46｜我有上将潘凤｜消息0702] 这两天波动刚起来 到没有那么危险
[10:46｜我有上将潘凤｜消息0703] 危险的倒是在后面
[13:53｜我有上将潘凤｜消息0704] 牛逼
[13:53｜我有上将潘凤｜消息0705] 我真的服气
[13:53｜我有上将潘凤｜消息0706] 这种波动
[13:53｜我有上将潘凤｜消息0707] 芯原Gμ份怎么拿住呢
[13:53｜我有上将潘凤｜消息0708] 我刚刚想了下
[13:53｜我有上将潘凤｜消息0709] 我就是拿不住
[13:54｜我有上将潘凤｜消息0710] 关键
[13:54｜我有上将潘凤｜消息0711] 我昨天加了
[13:54｜我有上将潘凤｜消息0712] 所以拿不住了
[13:54｜我有上将潘凤｜消息0713] 今天如果跌的
[13:55｜我有上将潘凤｜消息0714] 我能继续加
[14:02｜我有上将潘凤｜消息0715] 不过
[14:02｜我有上将潘凤｜消息0716] @所有人
[14:02｜我有上将潘凤｜消息0717] 原判
[14:02｜我有上将潘凤｜消息0718] 这边后面我会撤退了
[14:02｜我有上将潘凤｜消息0719] 这边賺钱
[14:02｜我有上将潘凤｜消息0720] 我认为运气居多了
[14:02｜我有上将潘凤｜消息0721] 海力士那个扩产
[14:03｜我有上将潘凤｜消息0722] 一个是利好上游设备
[14:03｜我有上将潘凤｜消息0723] 还有就是利好澜起这种配套的
[14:03｜我有上将潘凤｜消息0724] 所以还是有消息催化
[14:04｜我有上将潘凤｜消息0725] 可以说
[14:04｜我有上将潘凤｜消息0726] 芯原我卖了
[14:04｜我有上将潘凤｜消息0727] 可以说
[14:05｜我有上将潘凤｜消息0728] 这个之前买时感觉他那边订单会不错
[14:05｜我有上将潘凤｜消息0729] 就换了他
[14:05｜我有上将潘凤｜消息0730] 弹性
[14:05｜我有上将潘凤｜消息0731] 海光到今天为止其实也不算卖飞
[14:05｜我有上将潘凤｜消息0732] 其实
[14:23｜我有上将潘凤｜消息0733] 我看好日本
[14:23｜我有上将潘凤｜消息0734] 之前就看好日本
[14:23｜我有上将潘凤｜消息0735] 【潘凤老师】
[14:26｜我有上将潘凤｜消息0736] 老师们盘中不要讨论足球
[14:26｜我有上将潘凤｜消息0737] 盘后再说了
[14:26｜我有上将潘凤｜消息0738] 保持一下职业精神
[14:38｜我有上将潘凤｜消息0739] 澜起科技
[14:38｜我有上将潘凤｜消息0740] 还是爽到了
[14:38｜我有上将潘凤｜消息0741] 真是小宝贝
[14:38｜我有上将潘凤｜消息0742] 么么哒
[14:39｜我有上将潘凤｜消息0743] 信妹 澜妹
[14:39｜我有上将潘凤｜消息0744] 然后是三妹
[14:39｜我有上将潘凤｜消息0745] 这么排一下
[14:40｜我有上将潘凤｜消息0746] 我拍一下妹妹的润都
[14:40｜我有上将潘凤｜消息0747] 润度
[14:40｜我有上将潘凤｜消息0748] 我们第一润肯定是信妹了
[14:40｜我有上将潘凤｜消息0749] 我感觉第二就是这个澜妹了
[14:49｜我有上将潘凤｜消息0750] -----
不懂短线vigoss
[14:53｜我有上将潘凤｜消息0751] 这周客观说
[14:53｜我有上将潘凤｜消息0752] 第一波我们做兆易创新
[14:53｜我有上将潘凤｜消息0753] 是做存储
[14:53｜我有上将潘凤｜消息0754] 这波抄的是长鑫科技
[14:53｜我有上将潘凤｜消息0755] 所以这种Gμ价上涨是不同买入逻辑的
[14:54｜我有上将潘凤｜消息0756] 所以基本不可能从头拿到尾
[14:54｜我有上将潘凤｜消息0757] 倒是日内买澜起科技
[14:54｜我有上将潘凤｜消息0758] 我两次都是基本上平盘买
[14:54｜我有上将潘凤｜消息0759] 日内賺十个点
[14:54｜我有上将潘凤｜消息0760] 是个比较重要的方法
[14:58｜我有上将潘凤｜消息0761] 不喜欢红妹了 只喜欢蓝色衣服的
[15:04｜我有上将潘凤｜消息0762] 澜起这竞价
[15:04｜我有上将潘凤｜消息0763] 牛啊
[15:08｜我有上将潘凤｜消息0764] 国产还是好
[15:08｜我有上将潘凤｜消息0765] 真的
[15:08｜我有上将潘凤｜消息0766] 没看错
[15:20｜我有上将潘凤｜消息0767] 老师们多去看看四渡
[15:20｜我有上将潘凤｜消息0768] 这样对Gμ票的止损有帮助
[15:22｜我有上将潘凤｜消息0769] 打得过就打
[15:24｜我有上将潘凤｜消息0770] 这个是实力加运气
[15:24｜我有上将潘凤｜消息0771] 预判你的预判
[15:24｜我有上将潘凤｜消息0772] 然后买点安全之后看运气了
