[09:31｜我有上将潘凤｜消息2102] 今天这么一搞 又不好买股票了
[09:49｜我有上将潘凤｜消息2103] 其实我觉得这么生硬的拉起来
[13:18｜我有上将潘凤｜消息2214] 共进股份=进贡股份
[13:32｜我有上将潘凤｜消息2215] 这地方少亏的就是你后面赚的
[13:34｜我有上将潘凤｜消息2216] @所有人
[13:42｜我有上将潘凤｜消息2217] @所有人
[13:42｜我有上将潘凤｜消息2218] 老师们
[13:42｜我有上将潘凤｜消息2219] 今天不出手
[13:42｜我有上将潘凤｜消息2220] 等于又逃顶了
[13:54｜我有上将潘凤｜消息2221] 他的名字
[13:54｜我有上将潘凤｜消息2222] 起的很好
[14:04｜我有上将潘凤｜消息2223] 就是量化和很多基金
[14:04｜我有上将潘凤｜消息2224] 现在还有个问题
[14:04｜我有上将潘凤｜消息2225] 我看短期一周跌30个点的都有
[14:04｜我有上将潘凤｜消息2226] 会不会赎回
[14:04｜我有上将潘凤｜消息2227] 有没有人赎回
[14:06｜我有上将潘凤｜消息2228] GJD又来收尸了
[14:31｜我有上将潘凤｜消息2229] GJD刚刚小试牛刀
[14:31｜我有上将潘凤｜消息2230] 发现上不去
[14:33｜我有上将潘凤｜消息2231] GJD救不起来
[14:33｜我有上将潘凤｜消息2232] 尾盘要加速了
[14:35｜我有上将潘凤｜消息2233] @所有人
[14:35｜我有上将潘凤｜消息2234] 你们有吗
[14:35｜我有上将潘凤｜消息2235] 我最近
[14:35｜我有上将潘凤｜消息2236] 软件那么卡
[14:35｜我有上将潘凤｜消息2237] 我看盘软件都很卡
[14:44｜我有上将潘凤｜消息2238] GJD洪荒之力了
[14:47｜我有上将潘凤｜消息2239] 人家是来赚钱的
[14:47｜我有上将潘凤｜消息2240] 救市的主要目的
[14:47｜我有上将潘凤｜消息2241] 你以为来做慈善?
[14:47｜我有上将潘凤｜消息2242] 救的是流动性
[14:47｜我有上将潘凤｜消息2243] 啥叫救流动性
[14:48｜我有上将潘凤｜消息2244] 救市不让老师们亏得太快
[14:48｜我有上将潘凤｜消息2245] 慢慢亏下去可以
[14:49｜我有上将潘凤｜消息2246] 对
[14:49｜我有上将潘凤｜消息2247] 慢慢亏
[14:49｜我有上将潘凤｜消息2248] 每个月加仓
[14:49｜我有上将潘凤｜消息2249] 很多人工资也发了
[14:55｜我有上将潘凤｜消息2250] 这么一搞
[14:55｜我有上将潘凤｜消息2251] 又要拉长调整时间
[15:01｜我有上将潘凤｜消息2252] 这底部
[15:01｜我有上将潘凤｜消息2253] 好黏糊
[15:02｜我有上将潘凤｜消息2254] 群里老师是最不用着急的
[15:02｜我有上将潘凤｜消息2255] 我个人感觉
[15:02｜我有上将潘凤｜消息2256] 这边天天吵着抄底的全是前面亏麻掉的
[15:03｜我有上将潘凤｜消息2257] 我们没这个需求
[15:03｜我有上将潘凤｜消息2258] @所有人
[15:03｜我有上将潘凤｜消息2259] GJD:“有抄底业务了解一下”
[15:03｜我有上将潘凤｜消息2260] “不好意思 没这个需求”
