[09:55｜我有上将潘凤｜消息2261] 科技真是滚刀肉啊
[12:30｜我有上将潘凤｜消息2333] 说到充值那就没办法聊了
[13:10｜我有上将潘凤｜消息2334] @所有人
[13:10｜我有上将潘凤｜消息2335] 今天又不好买了
[13:10｜我有上将潘凤｜消息2336] 早上很多人爆
[13:10｜我有上将潘凤｜消息2337] 下午很多人高潮
[13:10｜我有上将潘凤｜消息2338] 继续等吧
[13:10｜我有上将潘凤｜消息2339] 中午一看指数都涨了5%
[13:11｜我有上将潘凤｜消息2340] 确实是个祸患
[13:11｜我有上将潘凤｜消息2341] 总是跌过头
[13:11｜我有上将潘凤｜消息2342] 涨过头
[13:20｜我有上将潘凤｜消息2343] 又开始限制mai出了
[13:20｜我有上将潘凤｜消息2344] 这边还是那个思路
[13:21｜我有上将潘凤｜消息2345] 很多人会慌得
[13:24｜我有上将潘凤｜消息2346] 文峰们一看中午很多人回血很多,气不过,下午又变策略了
[13:51｜我有上将潘凤｜消息2347] 多少估值啊
[14:22｜我有上将潘凤｜消息2348] 你不去
[14:22｜我有上将潘凤｜消息2349] 这市场
[14:22｜我有上将潘凤｜消息2350] 天天发信息给你
[14:22｜我有上将潘凤｜消息2351] 要加钱
[14:22｜我有上将潘凤｜消息2352] 你去了
[14:25｜我有上将潘凤｜消息2353] 一般这种时候
[14:26｜我有上将潘凤｜消息2354] 我都害怕场子是黑场子
[14:32｜我有上将潘凤｜消息2355] 我半路了一点华虹公司 不多
[14:39｜我有上将潘凤｜消息2356] 还是试错仓位 很多老师问
[14:40｜我有上将潘凤｜消息2357] 没有明天就走
[14:58｜我有上将潘凤｜消息2358] 买一点
[14:58｜我有上将潘凤｜消息2359] 这样
[14:59｜我有上将潘凤｜消息2360] 晚上大家吹牛回来了
[14:59｜我有上将潘凤｜消息2361] 对对对 你们说的都对
[14:59｜我有上将潘凤｜消息2362] 有点参与感
[14:59｜我有上将潘凤｜消息2363] 给钱就行
[15:07｜我有上将潘凤｜消息2364] 因为华宏公司是那个控节奏的核心票
[15:07｜我有上将潘凤｜消息2365] 你们猜猜里面是什么资金成分?@所有人
[15:07｜我有上将潘凤｜消息2366] 为什么走的那么惬意
[15:11｜我有上将潘凤｜消息2367] 我现在真是防守太久了
[15:11｜我有上将潘凤｜消息2368] 太保守了
[15:11｜我有上将潘凤｜消息2369] @所有人
[15:11｜我有上将潘凤｜消息2370] 不然我中午想清楚了就直接去了
[15:11｜我有上将潘凤｜消息2371] 没办法
[15:13｜我有上将潘凤｜消息2372] [强]
[15:13｜我有上将潘凤｜消息2373] 老师把我说开心了
[15:13｜我有上将潘凤｜消息2374] 看到别人为了爱情
[15:13｜我有上将潘凤｜消息2375] 痛不欲生
[15:13｜我有上将潘凤｜消息2376] 看了一样难受
[15:19｜我有上将潘凤｜消息2377] 早上跌停
[15:19｜我有上将潘凤｜消息2378] 真扛不住
[15:19｜我有上将潘凤｜消息2379] 那个
[15:23｜我有上将潘凤｜消息2380] 想回本
[15:23｜我有上将潘凤｜消息2381] 晚上要开吹了
[15:23｜我有上将潘凤｜消息2382] 把核心华虹顶起来
[15:24｜我有上将潘凤｜消息2383] 这次调整级别是超预期的
[15:24｜我有上将潘凤｜消息2384] 所以从正常操作层面
[15:24｜我有上将潘凤｜消息2385] 前面看空完全没问题
[15:24｜我有上将潘凤｜消息2386] 没啥问题
[15:24｜我有上将潘凤｜消息2387] 然后尾盘情绪确定买入也是符合逻辑的
[15:33｜我有上将潘凤｜消息2388] 敢精准抄底的只有gjd
[15:33｜我有上将潘凤｜消息2389] 其实你看gjd也没办法精准
[15:33｜我有上将潘凤｜消息2390] 炒了三天
[18:11｜我有上将潘凤｜消息2391] 16:32:27 财联社7月21日电,台积电美股盘前涨超3.2%。据报道,台积电拟于2027年将先进制程和成熟制程芯片代工服务价格最高上调10%。
[18:11｜我有上将潘凤｜消息2392] 开吹了
[19:39｜我有上将潘凤｜消息2393] 像这种本身10亿的人一般是越往上涨约加杠杆的
[19:40｜我有上将潘凤｜消息2394] 因为本身不缺钱
[19:40｜我有上将潘凤｜消息2395] 所以都想一把干到百亿
[19:40｜我有上将潘凤｜消息2396] 要的不是钱 是一种成就感
