[01:33｜5280｜消息0001] Gμo瓷材料我开pαn就把底苍全卖了 不剩了
[01:33｜5280｜消息0002] 我半路小加了点三孚Gμ份
[01:33｜我有上将潘凤｜消息0053] -----
111
[01:33｜我有上将潘凤｜消息0054] xian在怕不怕
[01:33｜我有上将潘凤｜消息0055] ?
[01:33｜我有上将潘凤｜消息0056] 我就记得这个老师怕
[01:33｜我有上将潘凤｜消息0057] 不要怕
[01:33｜我有上将潘凤｜消息0058] 你们都是量化的因子
[01:33｜我有上将潘凤｜消息0059] [旺柴]
[01:33｜5280｜消息0060] 量化就喜欢看你发言
[01:33｜5280｜消息0061] 但我感觉
[01:33｜5280｜消息0062] 肯定没拿住
[01:33｜5280｜消息0063] @Time Machine?拿住了没
[01:33｜5280｜消息0064] 三孚
[01:33｜5280｜消息0065] 像三孚这种如果没拿住
[01:33｜5280｜消息0066] 可以回家种红薯了
[01:33｜5280｜消息0067] 要不然就是太胆小
[01:33｜5280｜消息0068] 要不然就是一点都没研究了
[01:33｜5280｜消息0069] 工业妇联至少退
[01:33｜5280｜消息0070] 我今天卖飞三孚
[01:33｜5280｜消息0071] 已经很菜了
[01:33｜5280｜消息0072] 如果老师们之前卖飞了
[01:33｜5280｜消息0073] 所以我今天加苍
[01:33｜5280｜消息0074] 就等着静bαn的
[01:33｜5280｜消息0075] 主要早上科技跳水
[01:33｜5280｜消息0076] 太几把烦了
[01:33｜5280｜消息0077] 那天长芯博创
[01:33｜5280｜消息0078] 也是的
[01:33｜5280｜消息0079] 要上飞机了
[01:33｜5280｜消息0080] 卖飞了
[01:33｜5280｜消息0081] 草他妈
[01:33｜5280｜消息0082] 太可惜了
[01:33｜5280｜消息0083] 少了好多钱
[01:33｜5280｜消息0084] 哎
[01:33｜5280｜消息0085] 都是泪
[01:33｜5280｜消息0086] 有种失恋的感觉
[01:33｜我有上将潘凤｜消息0087] @所有人?
[01:33｜我有上将潘凤｜消息0088] 【潘凤老师】
[01:33｜我有上将潘凤｜消息0089] 我周四中午
[01:33｜我有上将潘凤｜消息0090] 还想梭哈兆易创新的
[01:33｜我有上将潘凤｜消息0091] 都思考了半天
[01:33｜我有上将潘凤｜消息0092] 还是在路上没敢动
[01:33｜我有上将潘凤｜消息0093] 妈的
[01:33｜我有上将潘凤｜消息0094] 兆易创新
[01:33｜我有上将潘凤｜消息0095] 我主要这种票
[01:33｜我有上将潘凤｜消息0096] 我要是周四mǎi就mǎi多了
[01:33｜我有上将潘凤｜消息0097] 要不然就不mǎi
[01:33｜我有上将潘凤｜消息0098] 但是在路上
[01:33｜我有上将潘凤｜消息0099] 不敢下这个指令
[09:27｜我有上将潘凤｜消息0100] 哎
[09:27｜我有上将潘凤｜消息0101] 气晕了
[09:36｜我有上将潘凤｜消息0102] 我继续加了点海光
[10:08｜我有上将潘凤｜消息0103] 烽火通信的原因。。
[10:08｜我有上将潘凤｜消息0104] 妈的
[10:08｜我有上将潘凤｜消息0105] 要深刻反省一下持Gμ了
[10:14｜我有上将潘凤｜消息0106] 我们还是熊ShΙ的经验太丰富了
[10:14｜我有上将潘凤｜消息0107] 所以说牛ShΙ 做不过新手
[10:14｜我有上将潘凤｜消息0108] 老手天天切换
[10:14｜我有上将潘凤｜消息0109] 对啊 新Gμ民又不会研究基本面
[10:14｜我有上将潘凤｜消息0110] 又不会研究心得
[10:14｜我有上将潘凤｜消息0111] 就一直拿着
[10:16｜我有上将潘凤｜消息0112] 想当年我妈 06-07牛ShΙ就这么干的
[10:16｜我有上将潘凤｜消息0113] 然后牛ShΙ结束卖完梭哈房产
[10:17｜我有上将潘凤｜消息0114] 说当时突然多了很多钱 不知道mǎi什么
[10:17｜我有上将潘凤｜消息0115] 就mǎi房子了
[10:18｜我有上将潘凤｜消息0116] 那没有
[10:22｜我有上将潘凤｜消息0117] 新手刚入ShΙ就碰到牛ShΙ 绝对不是好事
[10:31｜我有上将潘凤｜消息0118] 我半路了点大族激光
[10:33｜我有上将潘凤｜消息0119] 也就打打bαn
[10:33｜我有上将潘凤｜消息0120] 哎
[10:33｜我有上将潘凤｜消息0121] 给新Gμ民打工了
[10:34｜我有上将潘凤｜消息0122] -----
新韭 奥不 新Gμ民你好
[10:41｜我有上将潘凤｜消息0123] 这个东西都是概率 我老婆拿着张坤 五年了
[10:41｜我有上将潘凤｜消息0124] 依然kuī20%
[10:41｜我有上将潘凤｜消息0125] 补苍的
[10:41｜我有上将潘凤｜消息0126] 五年前的张坤 葛兰
[10:42｜我有上将潘凤｜消息0127] 她自己私房钱
[10:48｜我有上将潘凤｜消息0128] -3以下我加了点工业妇联
[13:45｜我有上将潘凤｜消息0129] 怕了 st了
[13:45｜我有上将潘凤｜消息0130] 大族退
[13:46｜我有上将潘凤｜消息0131] st天孚
[13:46｜我有上将潘凤｜消息0132] 海光退
[13:48｜我有上将潘凤｜消息0133] 三孚这两天是摘st了
[13:48｜我有上将潘凤｜消息0134] [旺柴]
[13:48｜我有上将潘凤｜消息0135] 妇联昨天已经退过了
[13:49｜我有上将潘凤｜消息0136] 今天妇联已经在三bαn挂牌了
[14:01｜我有上将潘凤｜消息0137] 说明人家证监会保护散户保护对了
[14:52｜我有上将潘凤｜消息0138] 这种不会封更好
[14:52｜我有上将潘凤｜消息0139] 不回去
[14:59｜我有上将潘凤｜消息0140] 今晚嘛
[15:00｜我有上将潘凤｜消息0141] 我就说。。
[15:00｜我有上将潘凤｜消息0142] 妈的 老师别乱报军情
[15:24｜我有上将潘凤｜消息0143] 【潘凤老师】
[15:24｜我有上将潘凤｜消息0144] 刚查了下 这尼玛持Gμ的公司已经比母公司ShΙ值还高了?
[15:28｜我有上将潘凤｜消息0145] 我们最早的时候做过这逻辑
[15:28｜我有上将潘凤｜消息0146] 但是当时大族shυ控
[15:29｜我有上将潘凤｜消息0147] 还没有大族激光高
[15:29｜我有上将潘凤｜消息0148] 我这次也是pαn中没怎么看
[15:29｜我有上将潘凤｜消息0149] 但是pαn后一看到挂了
[15:29｜我有上将潘凤｜消息0150] 居然
[15:30｜我有上将潘凤｜消息0151] 我们参与过
[15:30｜我有上将潘凤｜消息0152] shυ控应该600
[15:33｜我有上将潘凤｜消息0153] 这要看行业
[15:33｜我有上将潘凤｜消息0154] 夕阳行业
[15:33｜我有上将潘凤｜消息0155] 肯定估值高的要回归估值
[15:34｜我有上将潘凤｜消息0156] 朝阳行业大家相互比
[17:45｜我有上将潘凤｜消息0157] 美Gμo
[17:45｜我有上将潘凤｜消息0158] 还有明天吗
[17:45｜我有上将潘凤｜消息0159] 彻底
[17:45｜我有上将潘凤｜消息0160] 失败
